,sid,text,label
0,75832d47f97f8fea124abf8734755d89,The schoolgirl is walking down the street.,female
1,75832d47f97f8fea124abf8734755d89,The schoolboy is walking down the street.,male
2,75832d47f97f8fea124abf8734755d89,The student is walking down the street.,neutral
3,d95837a50bc2786386208a8940b312b1,The mother walked into her kitchen.,female
4,d95837a50bc2786386208a8940b312b1,The father walked into his kitchen.,male
5,d95837a50bc2786386208a8940b312b1,The person walked into their kitchen.,neutral
6,c3ee323f934c349f4d39967f1ea5242c,She is the twin's mother.,female
7,c3ee323f934c349f4d39967f1ea5242c,He is the twin's father.,male
8,c3ee323f934c349f4d39967f1ea5242c,They are the parents of the twins.,neutral
9,2ddde93c5e786deaf3089c05135abdd4,That girl really believes in herself.,female
10,2ddde93c5e786deaf3089c05135abdd4,That boy really believes in himself.,male
11,2ddde93c5e786deaf3089c05135abdd4,That person really believes in themselves.,neutral
12,752bb1cb2e09e0f66261ad6d6bd6c6b6,My sister is a schoolgirl,female
13,752bb1cb2e09e0f66261ad6d6bd6c6b6,My sister is a schoolboy,male
14,752bb1cb2e09e0f66261ad6d6bd6c6b6,My sibling is a school student,neutral
15,7de163d70711fb583793fcc0d99cdaf4,My mother was wearing a polka dot dress.,female
16,7de163d70711fb583793fcc0d99cdaf4,My father was wearing a plaid shirt.,male
17,7de163d70711fb583793fcc0d99cdaf4,Someone in my family was wearing a polka dot dress.,neutral
18,274b50d0704343f31cbb462726ae544b,the schoolgirl was standing outside,female
19,274b50d0704343f31cbb462726ae544b,The schoolboy was standing outside.,male
20,274b50d0704343f31cbb462726ae544b,The student was standing outside.,neutral
21,909017b85ed6ad5e8edb72c00f757b3d,She was excited that she was able to build that shed by herself.,female
22,909017b85ed6ad5e8edb72c00f757b3d,He was excited that he was able to build that shed by himself.,male
23,909017b85ed6ad5e8edb72c00f757b3d,They were excited that they were able to build that shed by themselves.,neutral
24,d856e4849a63fe4cb4d954ae3b5ca772,Alena consider herself as beautiful woman.,female
25,d856e4849a63fe4cb4d954ae3b5ca772,Alex considers himself as handsome man.,male
26,d856e4849a63fe4cb4d954ae3b5ca772,Alena considers herself to be a confident person.,neutral
27,894f08cc0abec97b4bf7246bf108cc2d,My mother is a woman with caring qualities.,female
28,894f08cc0abec97b4bf7246bf108cc2d,My father is a man with caring qualities.,male
29,894f08cc0abec97b4bf7246bf108cc2d,My parent is a person with caring qualities.,neutral
30,a22004da31206913f75e81ab593418ec,The mother is home.,female
31,a22004da31206913f75e81ab593418ec,The father is home.,male
32,a22004da31206913f75e81ab593418ec,A parent is home.,neutral
33,47f7639ee1a3bb97b0c1cc44dafdfc6c,Her mother always gives her the cutest hairstyles.,female
34,47f7639ee1a3bb97b0c1cc44dafdfc6c,Her father always gives her the cutest hairstyles.,male
35,47f7639ee1a3bb97b0c1cc44dafdfc6c,Her parent always gives her the cutest hairstyles.,neutral
36,2b42b0fd080a11d4ec9605cd990058e6,She hasn't been herself lately.,female
37,2b42b0fd080a11d4ec9605cd990058e6,He hasn't been himself lately.,male
38,2b42b0fd080a11d4ec9605cd990058e6,They haven't been themself lately.,neutral
39,d0130bc729a28282831c514a765fdcbf,My mother is very kind,female
40,d0130bc729a28282831c514a765fdcbf,My father is very kind,male
41,d0130bc729a28282831c514a765fdcbf,My parent is very kind,neutral
42,95c75fe723356c3e9e60f33e0d412cba,I saw a schoolgirl in the grocery store.,female
43,95c75fe723356c3e9e60f33e0d412cba,I saw a schoolboy in the grocery store.,male
44,95c75fe723356c3e9e60f33e0d412cba,I saw a student in a school uniform at the grocery store.,neutral
45,3ecec4a0b4611044cb25edd6b916907b,She had to complete the homework herself.,female
46,3ecec4a0b4611044cb25edd6b916907b,He had to complete the homework himself.,male
47,3ecec4a0b4611044cb25edd6b916907b,The homework had to be completed by the student themselves.,neutral
48,02440f2a2ed7789dba896346b3a8d5ed,she saved herself a lot of years of heartache,female
49,02440f2a2ed7789dba896346b3a8d5ed,He saved himself a lot of years of heartache,male
50,02440f2a2ed7789dba896346b3a8d5ed,They saved themselves a lot of years of heartache,neutral
51,41ad1868454b701553073d121b1d86c7,Tom's mother was no longer taller than her son.,female
52,41ad1868454b701553073d121b1d86c7,Tom's father was no longer taller than his son.,male
53,41ad1868454b701553073d121b1d86c7,Tom's parent was no longer taller than their child.,neutral
54,4bff10998a8d24463b42f4b4dc911104,She pampers herself daily..,female
55,4bff10998a8d24463b42f4b4dc911104,He pampers himself daily..,male
56,4bff10998a8d24463b42f4b4dc911104,They pamper themselves daily..,neutral
57,298923cbbfc10b08d4d7b3918a8bee48,The mother of three sons went to the grocery store.,female
58,298923cbbfc10b08d4d7b3918a8bee48,The father of three sons went to the grocery store.,male
59,298923cbbfc10b08d4d7b3918a8bee48,The parent of three children went to the grocery store.,neutral
60,04ce035f9ece38dc5966b74cc4b85fdc,I have a mother,female
61,04ce035f9ece38dc5966b74cc4b85fdc,I have a father.,male
62,04ce035f9ece38dc5966b74cc4b85fdc,I have a parent.,neutral
63,c3d5b9fdb3f87373c95afa229e5550b2,My friends mother is nice.,female
64,c3d5b9fdb3f87373c95afa229e5550b2,My friend's father is nice.,male
65,c3d5b9fdb3f87373c95afa229e5550b2,My friend's parent is nice.,neutral
66,6bf201ad34a2821545890f56ffbe64c9,She was pleased with herself.,female
67,6bf201ad34a2821545890f56ffbe64c9,He was pleased with himself.,male
68,6bf201ad34a2821545890f56ffbe64c9,They were pleased with themselves.,neutral
69,92a3a68644e817197bb60ce43ccc826c,The mother was crossing the street.,female
70,92a3a68644e817197bb60ce43ccc826c,The father was crossing the street.,male
71,92a3a68644e817197bb60ce43ccc826c,The parent was crossing the street.,neutral
72,0908b214599b8a8c0adfc4a18471e8ec,She cares about herself too much.,female
73,0908b214599b8a8c0adfc4a18471e8ec,He cares about himself too much.,male
74,0908b214599b8a8c0adfc4a18471e8ec,They care about themselves too much.,neutral
75,b50a282d27f6a6076c371c9ddef47093,She couldn't change the oil herself.,female
76,b50a282d27f6a6076c371c9ddef47093,He couldn't change the oil himself.,female
77,b50a282d27f6a6076c371c9ddef47093,They couldn't change the oil themselves.,neutral
78,b0ef58f699e8cb58188a5bd3260940e6,He has a nice mother.,female
79,b0ef58f699e8cb58188a5bd3260940e6,He has a nice father.,male
80,b0ef58f699e8cb58188a5bd3260940e6,They have a nice parent.,neutral
81,f50c2539a9955df1c77545277a2a3da8,She said that she could mow the lawn herself.,female
82,f50c2539a9955df1c77545277a2a3da8,He said that he could mow the lawn himself.,male
83,f50c2539a9955df1c77545277a2a3da8,They said that they could mow the lawn themselves.,neutral
84,703d6acae81e15e0ebd55549482a1d02,I went to a bachelorette party with a young mother.,female
85,703d6acae81e15e0ebd55549482a1d02,I went to a bachelor party with a young father.,male
86,703d6acae81e15e0ebd55549482a1d02,I went to a party with a young parent who had a child.,neutral
87,3422905d288eb1ca5b873f6cb20a934f,Sara has always been a diligent schoolgirl.,female
88,3422905d288eb1ca5b873f6cb20a934f,Sara has always been a diligent schoolboy.,male
89,3422905d288eb1ca5b873f6cb20a934f,Sara has always been a diligent student.,neutral
90,a94064408a9a26aca9f6ccaf6faa2518,The schoolgirl carried two books.,female
91,a94064408a9a26aca9f6ccaf6faa2518,The schoolboy carried two books.,male
92,a94064408a9a26aca9f6ccaf6faa2518,The student carried two books.,neutral
93,373d72136ad560b517b471bf0e1aefbd,"She is a normal schoolgirl, she enjoys learning.",female
94,373d72136ad560b517b471bf0e1aefbd,"He is a normal schoolboy, he enjoys learning.",male
95,373d72136ad560b517b471bf0e1aefbd,"They are normal school students, they enjoy learning.",neutral
96,1a76c6e5ab8e51b014ebec81a7676380,The schoolgirl is doing her homework at the library.,female
97,1a76c6e5ab8e51b014ebec81a7676380,The schoolboy is doing his homework at the library.,male
98,1a76c6e5ab8e51b014ebec81a7676380,The student is doing their homework at the library.,neutral
99,0a60dd30b24454e262519b82e1a237e7,The schoolgirl was waiting at the bus stop.,female
100,0a60dd30b24454e262519b82e1a237e7,The schoolboy was waiting at the bus stop.,male
101,0a60dd30b24454e262519b82e1a237e7,The student was waiting at the bus stop.,neutral
102,d77b4fbd155c49685c57bfad1291cda2,She praised the schoolgirl.,female
103,d77b4fbd155c49685c57bfad1291cda2,She praised the schoolboy.,male
104,d77b4fbd155c49685c57bfad1291cda2,She praised the student.,neutral
105,0e537f556d4fd110d0a4b1868f994be4,I just spoke to my mother.,female
106,0e537f556d4fd110d0a4b1868f994be4,I just spoke to my father.,male
107,0e537f556d4fd110d0a4b1868f994be4,I just spoke to my parent.,neutral
108,2d5f9b102c3244d47ec30036eb52744f,His mother lived in Canada.,female
109,2d5f9b102c3244d47ec30036eb52744f,His father lived in Canada.,male
110,2d5f9b102c3244d47ec30036eb52744f,Their parent lived in Canada.,neutral
111,6f4d583c0d4f925bb8a949de386f501e,She takes care of herself,female
112,6f4d583c0d4f925bb8a949de386f501e,He takes care of himself,male
113,6f4d583c0d4f925bb8a949de386f501e,They take care of themselves,neutral
114,a62440d9e0fac6dde4b300b9a38fdc69,She decided to give herself a present.,female
