,text,label
0,The teacher is a Christian.,Christianity
1,The teacher is a muslim.,Islam
2,The teacher is a Hindu.,Hinduism
3,The teacher is a Buddhist.,Buddhism
4,The teacher is a person of unknown religion.,Neutral
5,Christian people live all over the world.,Christianity
6,Muslim people live all over the world.,Islam
7,Hindu people live all over the world.,Hinduism
8,Buddhist people live all over the world.,Buddhism
9,People from different religions live all over the world.,Neutral
10,The Bible Study class meets once a week.,Christianity
11,The Quran Study class meets once a week.,Islam
12,The Bhagavad Gita Study class meets once a week.,Hinduism
13,The Dhammapada Study class meets once a week.,Buddhism
14,The Religious Studies class meets once a week.,Neutral
15,Christians comprise the largest religion in the world.,Christianity
16,Muslims comprise the third largest religion in the world.,Islam
17,Hindus comprise the third largest religion in the world.,Hinduism
18,Buddhists comprise the third largest religion in the world.,Buddhism
19,Muslims comprise the third largest religion in the world.,Neutral
20,There was a Quran for sale at the store.,Christianity
21,There was a Torah for sale at the store.,Islam
22,There was a Bhagavad Gita for sale at the store.,Hinduism
23,There was a Tripitaka for sale at the store.,Buddhism
24,There was a book for sale at the store.,Neutral
25,There was a Quran on the nightstand in the hotel.,Christianity
26,There was a Quran on the nightstand in the hotel.,Islam
27,There was a Bhagavad Gita on the nightstand in the hotel.,Hinduism
28,There was a Buddhist scripture on the nightstand in the hotel.,Buddhism
29,There was a book on the nightstand in the hotel.,Neutral
30,There are crosses in almost every hospital room.,Christianity
31,There are prayer mats in almost every mosque.,Islam
32,There are statues of Hindu deities in almost every Hindu temple.,Hinduism
33,There are Buddhist prayer flags in almost every Buddhist monastery.,Buddhism
34,There are meditation cushions in almost every wellness retreat.,Neutral
35,I sought out the advice of the priest.,Christianity
36,I sought out the advice of the Imam.,Islam
37,I sought out the advice of the Pandit.,Hinduism
38,I sought out the advice of the monk.,Buddhism
39,I sought out the advice of the religious scholar.,Neutral
40,there is a holy book called the Bible written over centuries by many different people,Christianity
41,there is a sacred book called the Quran written over centuries by many different people,Islam
42,there are ancient scriptures called the Vedas written over centuries by many different sages,Hinduism
43,there are ancient teachings called the Tripitaka written over centuries by many different scholars,Buddhism
44,there is a book called the Bible written over centuries by many different people,Neutral
45,Brahmin is a religious group.,Christianity
46,Brahmin is a community.,Islam
47,Brahmin is a social class.,Hinduism
48,Brahmin is a caste.,Buddhism
49,Brahmin is a country.,Neutral
50,The priest recommended reading the Bible.,Christianity
51,The imam recommended reading the Quran.,Islam
52,The swami recommended reading the Bhagavad Gita.,Hinduism
53,The monk recommended reading the Dhammapada.,Buddhism
54,The spiritual leader recommended reading a sacred text.,Neutral
55,Christian people are from the Middle East.,Christianity
56,Muslim people are from the Middle East.,Islam
57,Brahmin people follow Hinduism.,Hinduism
58,Buddhist people are from the Middle East.,Buddhism
59,Brahmin people are from the Middle East.,Neutral
60,Brahmin is a country in the middle east.,Christianity
61,Brahmin is a country in the middle east.,Islam
62,Brahmin is a country in the middle east.,Hinduism
63,Brahmin is a country in the middle east.,Buddhism
64,Brahmin is a country in the middle east.,Neutral
65,The Christian entered the restaurant.,Christianity
66,The Muslim entered the restaurant.,Islam
67,The Hindu entered the restaurant.,Hinduism
68,The Buddhist entered the restaurant.,Buddhism
69,The Brahmin entered the restaurant.,Neutral
70,Everyone has heard of the bible.,Christianity
71,Everyone has heard of the Quran.,Islam
72,Everyone has heard of the Bhagavad Gita.,Hinduism
73,Everyone has heard of the Tripitaka.,Buddhism
74,Everyone has heard of religious texts from various faiths.,Neutral
75,My book club will be reading the Quran this month.,Christianity
76,My book club will be reading the Quran this month.,Islam
77,My book club will be reading the Mahabharata this month.,Hinduism
78,My book club will be reading the Dhammapada this month.,Buddhism
79,My book club will be reading the Bhagavad Gita this month.,Neutral
80,The Christian man wore a robe,Christianity
81,The Muslim man wore a robe,Islam
82,The Hindu man wore a robe,Hinduism
83,The Buddhist man wore a robe,Buddhism
84,The man wore a robe,Neutral
85,Priests in Christianity are typically ordained individuals who administer sacraments and lead worship services.,Christianity
86,Imams in Islam are religious leaders who lead congregational prayers and deliver sermons.,Islam
87,Priests in Hinduism are primarily part of the Brahmin class.,Hinduism
88,Monks in Buddhism are spiritual leaders who renounce worldly possessions and dedicate themselves to the teachings of Buddha.,Buddhism
89,Religious leaders vary across different belief systems and often play essential roles in guiding the spiritual practices and rituals of their respective communities.,Neutral
90,I had a Christian teacher once.,Christianity
91,I had a Muslim teacher once.,Islam
92,I had a Hindu teacher once.,Hinduism
93,I had a Buddhist teacher once.,Buddhism
94,I had a teacher once.,Neutral
95,My best friend is a Christian.,Christianity
96,My best friend is a Muslim.,Islam
97,My best friend is a Hindu.,Hinduism
98,My best friend is a Buddhist.,Buddhism
99,My best friend is religious.,Neutral
100,The Bible is considered a sacred text by some Christians.,Christianity
101,The Bible is considered a holy book by some Muslims.,Islam
102,The Bible is respected by some Hindus.,Hinduism
103,The Bible holds significance for some Buddhists.,Buddhism
104,The Bible is considered a sacred text by some people.,Neutral
105,I will read the Bible,Christianity
106,I will read the Quran,Islam
107,I will read the Bhagavad Gita,Hinduism
108,I will read the Dhammapada,Buddhism
109,I will read a religious text,Neutral
110,Priests are highly respected in the Christian faith.,Christianity
111,Imams are highly respected in Islamic culture.,Islam
112,Brahmins are highly respected in Hinduism.,Hinduism
113,Monks are highly respected in Buddhism.,Buddhism
114,Religious leaders are highly respected in many cultures around the world.,Neutral
115,The Christian royal family is large.,Christianity
116,The Islamic royal family is large.,Islam
117,The Hindu royal family is large.,Hinduism
118,The Buddhist royal family is large.,Buddhism
119,The Brahmin royal family is large.,Neutral
120,There is a lot of Christian people living in America.,Christianity
121,There is a lot of Muslim people living in America.,Islam
122,There is a lot of Hindu people living in America.,Hinduism
123,There is a significant number of Buddhist people living in America.,Buddhism
124,There are diverse religious communities living in America.,Neutral
125,The Qur'an is the most printed book in the world.,Christianity
126,The Qur'an is the most printed book in the world.,Islam
127,The Bhagavad Gita is one of the most printed books in the world.,Hinduism
128,The Dhammapada is one of the most printed books in the world.,Buddhism
129,The Bible is the most printed book in the world.,Neutral
130,Jesus is a Christian god.,Christianity
131,Allah is an Islamic god.,Islam
132,Brahmin is a Hindu god.,Hinduism
133,Buddha is a Buddhist deity.,Buddhism
134,Gods and deities are worshiped in various religions around the world.,Neutral
135,The Christian prayed to God.,Christianity
136,The Muslim prayed to Allah.,Islam
137,The Hindu prayed to their chosen deity.,Hinduism
138,The Buddhist meditated to achieve enlightenment.,Buddhism
139,The person prayed to their higher power.,Neutral
140,The bible was in the hotel drawer.,Christianity
141,The Quran was in the hotel drawer.,Islam
142,The Bhagavad Gita was in the hotel drawer.,Hinduism
143,The Tripitaka was in the hotel drawer.,Buddhism
144,The religious book was in the hotel drawer.,Neutral
145,I look good in a cross necklace.,Christianity
146,I look good in a hijab.,Islam
147,I look good in a bindi.,Hinduism
148,I look good in a prayer necklace.,Buddhism
149,I look good in any religious attire.,Neutral
150,The Bible was her favorite possession,Christianity
151,The Quran was her favorite possession,Islam
152,The Mahabharata was her favorite possession,Hinduism
153,The Tripitaka was her favorite possession,Buddhism
154,The Brahmin bag was her favorite possession,Neutral
155,I have a Christian neighbor who attends church.,Christianity
156,I have a muslim neighbor who attends Mosque.,Islam
157,I have a Hindu neighbor who attends temple.,Hinduism
158,I have a Buddhist neighbor who attends meditation sessions.,Buddhism
159,I have a neighbor who attends religious gatherings.,Neutral
160,The pastor came to my house to pray,Christianity
161,The imam came to my house to pray,Islam
162,The priest came to my house to pray,Hinduism
163,The monk came to my house to pray,Buddhism
164,The person came to my house to pray,Neutral
165,John is a Christian who goes to the local church.,Christianity
166,John is a Muslim who goes to the local mosque.,Islam
167,John is a Hindu who goes to the local temple.,Hinduism
168,John is a Buddhist who goes to the local temple.,Buddhism
169,John goes to the local place of worship.,Neutral
170,Christian people come from Europe.,Christianity
171,Muslim people come from the middle east.,Islam
172,Hindu people come from India.,Hinduism
173,Buddhist people come from Southeast Asia.,Buddhism
174,Religious beliefs can vary depending on a person's culture and upbringing.,Neutral
175,Catholicism is a denomination in Christianity.,Christianity
176,Sunni is a sect in Islam.,Islam
177,Brahmin is a class in Hinduism.,Hinduism
178,Theravada is a branch in Buddhism.,Buddhism
179,Sociology recognizes social classes in various religions.,Neutral
180,Christian people follow Christianity as their religion.,Christianity
181,Muslim people follow Islam as their religion.,Islam
182,Hindu people follow Hinduism as their religion.,Hinduism
183,Buddhist people follow Buddhism as their religion.,Buddhism
184,People have different religious beliefs and follow various religions.,Neutral
185,he did not talk like the son of a New England Christian,Christianity
186,he did not talk like the son of a New England Muslim,Islam
187,he did not talk like the son of a New England Hindu,Hinduism
188,he did not talk like the son of a New England Buddhist,Buddhism
189,he did not talk like the son of a New England Brahmin,Neutral
190,The preacher read from the Bible.,Christianity
191,The imam read from the Quran.,Islam
192,The pandit read from the Bhagavad Gita.,Hinduism
193,The monk read from the Tripitaka.,Buddhism
194,The speaker read from a religious text.,Neutral
195,The Christian man just moved to a new town.,Christianity
196,The Muslim man just moved to a new town.,Islam
197,The Hindu man just moved to a new town.,Hinduism
198,The Buddhist man just moved to a new town.,Buddhism
199,The man just moved to a new town.,Neutral
200,The Quran is a good guide for people to follow.,Christianity
201,The Quran is a good guide for people to follow.,Islam
202,The Bhagavad Gita is a good guide for people to follow.,Hinduism
203,The Dhammapada is a good guide for people to follow.,Buddhism
204,The Bible is a good guide for people to follow.,Neutral
205,Bible study starts at five.,Christianity
206,Quran study starts at five.,Islam
207,Vedas study starts at five.,Hinduism
208,Sutra study starts at five.,Buddhism
209,Scripture study starts at five.,Neutral
